"extralinea1","extralinea2","parametro1","parametro2","parametro3","parametro4","parametro5","parametro6","parametro7","parametro8","parametro9","parametro10","parametro11","parametro12","parametro13","parametro14","Calificacion"
"no","no",0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,"Incorrecto"
"no","no",0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,"Correcto"
"no","no",0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,"Correcto"
"no","no",0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,"Correcto"
"no","no",0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,"Correcto"
"no","no",0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,"Correcto"
"no","no",0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,"Correcto"
"yes","yes",33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,"Correcto"
"no","no",0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1,"Correcto"
"yes","yes",41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,"Incorrecto"
"no","no",0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,"Correcto"
"no","no",0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,"Correcto"
"yes","no",0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,"Correcto"
"no","no",0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,"Incorrecto"
"no","no",0,201.1,99,34.19,303.5,74,25.8,224,119,10.08,13.2,2,3.56,1,"Correcto"
"no","yes",24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,"Correcto"
"no","no",0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3,1,"Correcto"
"no","no",0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0,"Incorrecto"
"no","no",0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,"Correcto"
"no","no",0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0,"Correcto"
"no","no",0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,"Incorrecto"
"no","no",0,178.3,137,30.31,189,76,16.07,129.1,102,5.81,14.6,5,3.94,0,"Correcto"
"no","no",0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,"Correcto"
"no","no",0,161,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,"Correcto"
"no","no",0,210.2,92,35.73,227.3,77,19.32,200.1,116,9,13.1,7,3.54,1,"Correcto"
"no","no",0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,"Correcto"
"no","no",0,197,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,"Correcto"
"no","yes",36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,"Correcto"
"no","yes",23,205,101,34.85,152,60,12.92,158.6,59,7.14,10.2,5,2.75,2,"Correcto"
"no","yes",39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,"Correcto"
"yes","no",0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,"Correcto"
"no","no",0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,"Correcto"
"no","no",0,226,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,"Correcto"
"no","no",0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12,6,3.24,0,"Correcto"
"no","no",0,219.2,92,37.26,149.4,125,12.7,244.7,104,11.01,6.1,5,1.65,0,"Correcto"
"no","no",0,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,"Correcto"
"yes","yes",23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,"Correcto"
"no","no",0,186.1,98,31.64,254.3,57,21.62,214,127,9.63,14.6,7,3.94,2,"Correcto"
"no","yes",23,289.5,52,49.22,166.6,111,14.16,119.1,88,5.36,9.5,4,2.57,1,"Correcto"
"no","yes",23,198.1,86,33.68,177,86,15.05,180.5,92,8.12,6.8,6,1.84,1,"Correcto"
"no","no",0,182.3,101,30.99,328.2,93,27.9,245,131,11.03,11.2,1,3.02,2,"Correcto"
"no","no",0,140.6,109,23.9,178.6,51,15.18,217,83,9.76,6.8,3,1.84,2,"Correcto"
"no","no",0,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,"Correcto"
"no","no",0,223,121,37.91,110.1,98,9.36,188.7,107,8.49,7.1,12,1.92,0,"Correcto"
"no","no",0,149.3,113,25.38,242.2,122,20.59,174.3,104,7.84,8.9,6,2.4,2,"Correcto"
"no","no",0,213.4,111,36.28,234.5,94,19.93,250.1,123,11.25,2.7,4,0.73,1,"Correcto"
"no","yes",27,186.2,78,31.65,189.6,83,16.12,76.5,139,3.44,9.6,3,2.59,2,"Correcto"
"no","yes",40,202.6,103,34.44,118.8,128,10.1,234.9,98,10.57,9,9,2.43,2,"Correcto"
"no","no",0,220.2,89,37.43,88.3,125,7.51,195.3,79,8.79,12.9,5,3.48,0,"Correcto"
"no","no",0,225,81,38.25,176.9,63,15.04,194.3,110,8.74,7.1,2,1.92,3,"Correcto"
"no","no",0,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,"Correcto"
"no","yes",37,60,102,10.2,102.2,80,8.69,261.8,106,11.78,11.1,3,3,0,"Correcto"
"no","yes",29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4,"Incorrecto"
"no","no",0,207.9,91,35.34,172,109,14.62,191.8,143,8.63,14.4,7,3.89,4,"Correcto"
"no","no",0,138.6,122,23.56,172.3,117,14.65,231.6,92,10.42,9.8,3,2.65,1,"Correcto"
"no","no",0,143.3,103,24.36,211.3,108,17.96,185.2,96,8.33,11.5,3,3.11,1,"Correcto"
"no","yes",30,206.2,79,35.05,260,91,22.1,291.6,83,13.12,11.4,6,3.08,1,"Correcto"
"yes","no",0,218.9,88,37.21,208,85,17.68,203.3,99,9.15,11.1,4,3,0,"Correcto"
"no","yes",48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2,"Incorrecto"
"no","no",0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2,"Correcto"
"no","no",0,85.7,83,14.57,247.7,67,21.05,142.4,85,6.41,10.1,5,2.73,2,"Correcto"
"no","no",0,215.5,129,36.64,218.7,117,18.59,207.1,91,9.32,6.6,9,1.78,4,"Correcto"
"no","no",0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2,"Correcto"
"no","no",0,234,109,39.78,249.5,114,21.21,173.1,70,7.79,9.1,5,2.46,2,"Correcto"
"no","no",0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0,"Correcto"
"no","yes",28,121,105,20.57,270.4,100,22.98,160.5,76,7.22,7.7,4,2.08,2,"Correcto"
"no","yes",32,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,"Correcto"
"no","no",0,198.3,130,33.71,217.1,86,18.45,188.4,96,8.48,12.5,3,3.38,0,"Correcto"
"no","no",0,233.8,104,39.75,266.5,94,22.65,212.7,104,9.57,7.6,3,2.05,2,"Correcto"
"no","no",0,213,63,36.21,176.6,71,15.01,262.6,126,11.82,9.1,1,2.46,1,"Incorrecto"
"no","yes",34,221.8,105,37.71,161.7,85,13.74,227.7,62,10.25,14,7,3.78,0,"Correcto"
"no","yes",21,64.6,98,10.98,176.1,86,14.97,244.8,84,11.02,0,0,0,2,"Correcto"
"no","yes",33,161.6,117,27.47,123,90,10.46,261.3,101,11.76,12.2,5,3.29,1,"Correcto"
"no","no",0,107,63,18.19,105.7,67,8.98,243.1,74,10.94,12.8,3,3.46,4,"Incorrecto"
"yes","yes",38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,10.1,4,2.73,4,"Correcto"
"yes","no",0,244.6,89,41.58,188.8,80,16.05,206,114,9.27,11.3,4,3.05,1,"Correcto"
"no","no",0,193.3,96,32.86,264.1,123,22.45,128.6,115,5.79,9.1,3,2.46,4,"Correcto"
"no","no",0,197,110,33.49,222.8,102,18.94,225.3,91,10.14,10.6,6,2.86,2,"Correcto"
"no","yes",21,214,113,36.38,180,114,15.3,134.5,82,6.05,10.6,5,2.86,0,"Correcto"
"no","no",0,242.1,118,41.16,191,93,16.24,218.6,50,9.84,14.7,2,3.97,3,"Correcto"
"yes","no",0,176.2,87,29.95,145,81,12.33,249.5,92,11.23,5.7,4,1.54,0,"Correcto"
"no","no",0,102,95,17.34,270.2,139,22.97,148.2,105,6.67,10.7,3,2.89,1,"Correcto"
"no","no",0,168.4,125,28.63,243.8,89,20.72,214.7,102,9.66,11.1,2,3,1,"Correcto"
"no","yes",22,278.3,89,47.31,93.4,143,7.94,107.6,42,4.84,9.7,5,2.62,0,"Correcto"
"no","no",0,157.1,134,26.71,184.9,122,15.72,197.2,59,8.87,8.5,5,2.3,4,"Incorrecto"
"no","no",0,97.2,80,16.52,186.2,90,15.83,189,92,8.5,10.4,6,2.81,2,"Correcto"
"no","yes",28,206.9,126,35.17,264.4,126,22.47,171.8,124,7.73,9.3,11,2.51,2,"Correcto"
"no","yes",40,104.9,65,17.83,216.3,93,18.39,217.4,128,9.78,9.6,9,2.59,1,"Correcto"
"no","yes",20,198.9,77,33.81,274,88,23.29,190.7,76,8.58,14.3,9,3.86,1,"Correcto"
"no","no",0,264.8,124,45.02,245.4,112,20.86,160.5,115,7.22,14.8,2,4,1,"Incorrecto"
"no","no",0,184,120,31.28,120.4,119,10.23,153.7,86,6.92,11,3,2.97,0,"Correcto"
"no","yes",36,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,"Incorrecto"
"no","no",0,75,116,12.75,248.7,87,21.14,176,83,7.92,9.5,6,2.57,3,"Correcto"
"no","yes",33,96.6,59,16.42,315.4,98,26.81,163.3,117,7.35,6.2,4,1.67,4,"Incorrecto"
"no","yes",20,214.6,101,36.48,235.1,132,19.98,162.8,132,7.33,14.8,12,4,0,"Correcto"
"no","no",0,149.9,95,25.48,256.1,110,21.77,212.7,92,9.57,13.3,13,3.59,2,"Correcto"
"yes","no",0,156.1,114,26.54,180.3,63,15.33,179.6,115,8.08,11.1,9,3,2,"Correcto"
"no","yes",23,114.3,102,19.43,190.3,103,16.18,240.4,111,10.82,12.6,7,3.4,3,"Correcto"
"yes","no",0,216.9,61,36.87,207.4,120,17.63,221.7,110,9.98,17.5,5,4.73,1,"Incorrecto"
"yes","yes",26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0,"Correcto"
"no","yes",24,186.6,69,31.72,222,116,18.87,234.9,138,10.57,11.6,5,3.13,1,"Correcto"
"no","no",0,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,"Correcto"
"no","no",0,47.4,125,8.06,167.8,90,14.26,163.1,107,7.34,10.5,8,2.84,2,"Correcto"
"no","no",0,227.4,88,38.66,182.5,100,15.51,191.7,134,8.63,12.5,3,3.38,0,"Correcto"
"no","yes",37,163.5,77,27.8,203.1,102,17.26,232,87,10.44,7.8,4,2.11,2,"Correcto"
"no","yes",36,201.3,117,34.22,42.2,78,3.59,125.7,104,5.66,5.4,3,1.46,1,"Correcto"
"no","yes",31,103.1,90,17.53,243,135,20.66,76.4,92,3.44,12.2,8,3.29,3,"Correcto"
"no","yes",31,237.1,63,40.31,205.6,117,17.48,196.7,85,8.85,10.1,5,2.73,4,"Correcto"
"yes","no",0,78.2,103,13.29,195.9,149,16.65,108,100,4.86,10.1,6,2.73,2,"Correcto"
"no","no",0,131.8,97,22.41,136.7,100,11.62,308.2,119,13.87,7.7,6,2.08,2,"Correcto"
"no","no",0,145.6,106,24.75,98.3,106,8.36,230.8,83,10.39,10.9,5,2.94,1,"Correcto"
"no","no",0,211,76,35.87,189,100,16.07,123,102,5.54,4.7,4,1.27,3,"Correcto"
"no","yes",31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,9,1,2.43,3,"Correcto"
"no","yes",30,183.8,76,31.25,229.7,95,19.52,144.1,124,6.48,7.7,3,2.08,1,"Correcto"
"no","no",0,150.5,75,25.59,193.1,93,16.41,311.6,93,14.02,10.3,2,2.78,1,"Correcto"
"no","no",0,218.9,105,37.21,299.9,87,25.49,158.6,110,7.14,11.3,4,3.05,2,"Correcto"
"no","no",0,187.8,94,31.93,248.6,86,21.13,208.8,124,9.4,10.6,5,2.86,0,"Correcto"
"yes","yes",29,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,"Incorrecto"
"no","no",0,195.4,107,33.22,154.6,96,13.14,142.8,97,6.43,11.6,6,3.13,1,"Correcto"
"no","no",0,191.3,89,32.52,193.9,87,16.48,268.4,121,12.08,12.8,4,3.46,1,"Correcto"
"no","no",0,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0,"Incorrecto"
"no","no",0,150.7,105,25.62,197.3,133,16.77,169,116,7.61,9.2,15,2.48,1,"Correcto"
"no","no",0,161.5,92,27.46,173.5,108,14.75,206.2,95,9.28,7.9,4,2.13,2,"Correcto"
"no","yes",22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,8.5,4,2.3,3,"Correcto"
"no","yes",28,235.6,74,40.05,227.9,37,19.37,170.3,103,7.66,15.4,9,4.16,0,"Correcto"
"no","yes",39,206.9,143,35.17,127.8,72,10.86,199.2,120,8.96,9.2,1,2.48,3,"Correcto"
"no","yes",22,263.8,65,44.85,103.4,115,8.79,208.1,109,9.36,8.5,3,2.3,3,"Correcto"
"no","no",0,264.7,69,45,305,120,25.93,197.4,86,8.88,9.5,9,2.57,1,"Incorrecto"
"no","no",0,197.1,126,33.51,130.1,76,11.06,78.1,100,3.51,7.4,4,2,3,"Correcto"
"no","no",0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1,"Correcto"
"yes","no",0,222.4,78,37.81,327,111,27.8,208,104,9.36,8.7,9,2.35,1,"Incorrecto"
"no","no",0,189.5,90,32.22,189.8,118,16.13,205.8,83,9.26,13.1,2,3.54,1,"Correcto"
"no","yes",32,30.9,113,5.25,187,113,15.9,230.8,101,10.39,8.6,7,2.32,1,"Correcto"
"no","no",0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,10.1,2,2.73,3,"Correcto"
"no","no",0,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,"Correcto"
"no","no",0,206,89,35.02,186,88,15.81,307.1,86,13.82,8.4,11,2.27,0,"Correcto"
"no","no",0,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,"Correcto"
"no","no",0,215.6,78,36.65,195.3,119,16.6,194.4,65,8.75,3.6,5,0.97,1,"Correcto"
"no","no",0,203.2,81,34.54,152.5,99,12.96,197.8,76,8.9,9.7,3,2.62,2,"Correcto"
"no","no",0,137.4,109,23.36,237.6,49,20.2,206.7,136,9.3,14,11,3.78,3,"Correcto"
"no","yes",39,261.2,122,44.4,214.2,101,18.21,154.9,101,6.97,12.7,5,3.43,2,"Correcto"
"no","no",0,162.1,86,27.56,155,86,13.18,189.7,87,8.54,11,9,2.97,5,"Incorrecto"
"no","no",0,184.6,102,31.38,196,117,16.66,226.5,122,10.19,7.8,1,2.11,1,"Correcto"
"no","no",0,220.7,120,37.52,270.2,95,22.97,121.6,113,5.47,8.7,5,2.35,1,"Correcto"
"no","yes",23,182.1,94,30.96,164.6,59,13.99,128.8,102,5.8,12.7,4,3.43,3,"Correcto"
"no","no",0,201.2,128,34.2,227.2,100,19.31,145.8,91,6.56,8.4,3,2.27,2,"Correcto"
"no","yes",35,186.8,124,31.76,261,69,22.19,317.8,103,14.3,15,5,4.05,0,"Correcto"
"no","yes",31,153.5,83,26.1,219.1,96,18.62,237.4,76,10.68,11.4,4,3.08,0,"Correcto"
"yes","no",0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,11,9,2.97,2,"Correcto"
"no","yes",22,197.1,113,33.51,259.4,95,22.05,134.7,135,6.06,14.6,5,3.94,2,"Correcto"
"no","no",0,208.3,86,35.41,253.6,89,21.56,291,86,13.1,12.6,3,3.4,1,"Correcto"
"no","yes",30,127.1,89,21.61,172.1,116,14.63,194.6,111,8.76,12.1,3,3.27,1,"Correcto"
"yes","yes",16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0,"Correcto"
"no","yes",17,186.9,94,31.77,240,138,20.4,200.9,64,9.04,5.8,3,1.57,1,"Correcto"
"no","no",0,123.7,96,21.03,103,80,8.76,189.4,82,8.52,13.1,4,3.54,1,"Correcto"
"no","no",0,314.6,102,53.48,169.8,86,14.43,285.1,100,12.83,5.7,3,1.54,2,"Incorrecto"
"no","no",0,178,110,30.26,153.8,64,13.07,236.6,105,10.65,11.7,4,3.16,1,"Correcto"
"no","yes",24,149.4,74,25.4,123.9,72,10.53,174.3,84,7.84,10.1,6,2.73,1,"Correcto"
"yes","no",0,167.7,94,28.51,93.7,121,7.96,241.3,115,10.86,13.4,1,3.62,3,"Incorrecto"
"no","no",0,216.2,107,36.75,215.6,84,18.33,138.4,127,6.23,10.2,3,2.75,0,"Correcto"
"no","no",0,72.7,75,12.36,208.6,117,17.73,65.8,71,2.96,9.9,3,2.67,1,"Correcto"
"no","yes",17,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,"Correcto"
"no","yes",31,125.9,101,21.4,196.4,102,16.69,252.7,75,11.37,10.3,4,2.78,1,"Correcto"
"no","no",0,237.6,79,40.39,192.4,107,16.35,207.4,111,9.33,9.1,9,2.46,0,"Correcto"
"no","yes",24,212.7,73,36.16,257.5,103,21.89,227.8,119,10.25,9.7,13,2.62,2,"Correcto"
"no","yes",38,163.6,132,27.81,146.7,113,12.47,345.8,115,15.56,13.1,3,3.54,3,"Correcto"
"no","no",0,209.8,114,35.67,171.3,82,14.56,154.6,119,6.96,9.9,9,2.67,4,"Correcto"
"no","no",0,105,150,17.85,251.6,90,21.39,258,93,11.61,14.9,5,4.02,0,"Correcto"
"no","no",0,271.4,119,46.14,190.4,102,16.18,284.7,118,12.81,11.1,6,3,4,"Incorrecto"
"no","no",0,204.9,107,34.83,135.2,102,11.49,208.2,106,9.37,10.4,3,2.81,5,"Correcto"
"no","no",0,127,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,"Correcto"
"no","no",0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15,7,4.05,2,"Correcto"
"no","yes",31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,"Correcto"
"no","no",0,165.3,118,28.1,210,101,17.85,187.2,93,8.42,8.5,3,2.3,2,"Correcto"
"no","yes",35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,"Correcto"
"no","yes",32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,"Correcto"
"no","no",0,213,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,"Correcto"
"no","no",0,159.8,91,27.17,120.4,86,10.23,163,93,7.34,10.6,3,2.86,2,"Correcto"
"no","yes",24,130.1,117,22.12,196,61,16.66,139.3,123,6.27,11.4,5,3.08,0,"Correcto"
"no","no",0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,"Correcto"
"no","no",0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,"Correcto"
"no","yes",28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11,4,2.97,1,"Correcto"
"no","no",0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11,3,2.97,1,"Correcto"
"no","yes",39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,"Correcto"
"no","yes",30,154,75,26.18,165.8,97,14.09,270,83,12.15,10.8,5,2.92,1,"Correcto"
"no","no",0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,"Correcto"
"no","no",0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,"Correcto"
"no","yes",24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,"Correcto"
"no","yes",35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,"Correcto"
"no","no",0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,"Correcto"
"no","no",0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,"Incorrecto"
"yes","no",0,216.7,117,36.84,116.5,126,9.9,220,110,9.9,9.8,4,2.65,2,"Correcto"
"no","no",0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,"Correcto"
"no","no",0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,"Correcto"
"no","yes",28,95,94,16.15,291.2,73,24.75,159.6,114,7.18,10,2,2.7,2,"Correcto"
"no","no",0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,"Correcto"
"yes","yes",24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,"Correcto"
"no","no",0,147,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,"Correcto"
"yes","no",0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,"Correcto"
"no","no",0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,"Correcto"
"no","yes",38,123,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,"Correcto"
"no","yes",29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,"Correcto"
"no","yes",25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,"Correcto"
"no","yes",27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,"Correcto"
"no","no",0,217,115,36.89,207,142,17.6,268,106,12.06,8.2,4,2.21,1,"Correcto"
"no","no",0,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1,"Correcto"
"no","no",0,274.4,120,46.65,198.6,82,16.88,160.8,62,7.24,6,3,1.62,1,"Correcto"
"no","yes",29,279.9,121,47.58,223.1,109,18.96,251.7,94,11.33,13,2,3.51,1,"Correcto"
"no","no",0,176.9,128,30.07,102.8,56,8.74,213.7,84,9.62,10.5,2,2.84,4,"Incorrecto"
"no","no",0,140.4,112,23.87,187.1,60,15.9,207.9,155,9.36,7.9,1,2.13,0,"Correcto"
"no","no",0,189.1,105,32.15,246.1,147,20.92,242,106,10.89,10.4,5,2.81,1,"Incorrecto"
"no","no",0,103.3,103,17.56,138.5,79,11.77,164.8,98,7.42,9,2,2.43,2,"Correcto"
"no","yes",33,251.6,87,42.77,197.6,118,16.8,209.2,97,9.41,12.2,3,3.29,2,"Correcto"
"no","no",0,139.4,81,23.7,223.7,113,19.01,173.1,77,7.79,13.6,6,3.67,1,"Correcto"
"no","no",0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6,"Incorrecto"
"no","no",0,216.7,30,36.84,144.3,125,12.27,135.3,106,6.09,10.8,1,2.92,2,"Correcto"
"no","yes",32,262.2,123,44.57,165.2,82,14.04,194.3,57,8.74,10.6,5,2.86,0,"Correcto"
"yes","no",0,106.6,76,18.12,147.4,89,12.53,235.8,113,10.61,9.6,8,2.59,2,"Correcto"
"no","no",0,131.6,120,22.37,211.3,96,17.96,168.3,97,7.57,11.1,4,3,4,"Incorrecto"
"no","no",0,146.4,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,"Correcto"
