"extralinea1","extralinea2","parametro1","parametro2","parametro3","parametro4","parametro5","parametro6","parametro7","parametro8","parametro9","parametro10","parametro11","parametro12","parametro13","parametro14","Calificacion"
"no","no",0,103.3,122,17.56,245.9,123,20.9,161.1,95,7.25,6.4,7,1.73,0,"Correcto"
"no","yes",32,187.8,117,31.93,129.8,90,11.03,132.3,113,5.95,12,3,3.24,2,"Correcto"
"yes","yes",26,307.1,94,52.21,289.4,78,24.6,174.9,109,7.87,8,3,2.16,0,"Correcto"
"no","no",0,203.4,81,34.58,167.7,110,14.25,132,124,5.94,9.2,5,2.48,2,"Correcto"
"no","yes",39,92.8,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1,"Correcto"
"no","yes",35,245.4,89,41.72,148.2,102,12.6,274,136,12.33,7.5,6,2.03,1,"Correcto"
"no","yes",32,192.3,82,32.69,165.3,134,14.05,205,74,9.23,9,1,2.43,2,"Correcto"
"no","yes",12,141.9,92,24.12,228.9,102,19.46,195.1,101,8.78,8.7,5,2.35,0,"Correcto"
"yes","yes",15,160,95,27.2,209.5,110,17.81,82.3,107,3.7,8.7,5,2.35,5,"Incorrecto"
"no","no",0,188.4,63,32.03,165.9,89,14.1,205.7,71,9.26,13.2,2,3.56,1,"Correcto"
"no","no",0,194.8,97,33.12,235.3,118,20,174.4,126,7.85,11,3,2.97,1,"Correcto"
"no","yes",33,231.8,78,39.41,232.9,79,19.8,206.9,121,9.31,7.6,4,2.05,1,"Correcto"
"no","yes",25,134,112,22.78,206,111,17.51,180.6,118,8.13,9.7,4,2.62,0,"Correcto"
"no","no",0,107.9,88,18.34,235.8,109,20.04,228.6,119,10.29,9.5,3,2.57,2,"Correcto"
"no","no",0,141.1,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3,"Correcto"
"no","yes",28,249.6,87,42.43,227.2,138,19.31,239.9,92,10.8,7.6,3,2.05,3,"Correcto"
"no","no",0,215.9,93,36.7,240.1,85,20.41,156.7,123,7.05,4.9,5,1.32,3,"Correcto"
"no","no",0,178.4,97,30.33,168.3,113,14.31,120.5,93,5.42,9.3,9,2.51,1,"Correcto"
"no","no",0,106.4,84,18.09,140.2,104,11.92,90.9,81,4.09,11.4,3,3.08,1,"Correcto"
"no","yes",37,161.2,109,27.4,204.2,79,17.36,231.5,87,10.42,8.9,4,2.4,1,"Correcto"
"no","no",0,178.7,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4,"Correcto"
"no","no",0,150.9,79,25.65,161.8,87,13.75,167.7,115,7.55,11.7,5,3.16,3,"Correcto"
"no","no",0,168,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,"Correcto"
"no","yes",34,162.1,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,"Incorrecto"
"yes","no",0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3,"Correcto"
"no","no",0,140.1,120,23.82,231.4,128,19.67,188.1,127,8.46,11.2,5,3.02,2,"Correcto"
"no","no",0,169.1,105,28.75,169.9,102,14.44,244.9,106,11.02,9.9,10,2.67,3,"Correcto"
"no","no",0,229.3,93,38.98,184.5,111,15.68,168.2,91,7.57,8.8,3,2.38,2,"Correcto"
"no","no",0,162.8,65,27.68,185,109,15.73,219.5,104,9.88,6,3,1.62,2,"Correcto"
"no","no",0,182.3,115,30.99,199.2,97,16.93,120.2,113,5.41,18,5,4.86,1,"Correcto"
"no","yes",20,189.3,95,32.18,118.6,113,10.08,250.2,102,11.26,12.5,4,3.38,2,"Correcto"
"no","yes",31,224.7,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,"Incorrecto"
"no","no",0,166.2,112,28.25,255.3,81,21.7,228.1,97,10.26,5.4,7,1.46,1,"Correcto"
"no","no",0,166.2,102,28.25,217.6,112,18.5,220.2,68,9.91,13.2,2,3.56,4,"Correcto"
"no","no",0,176.4,62,29.99,201,124,17.09,150.4,138,6.77,11.2,2,3.02,0,"Correcto"
"no","yes",24,176,118,29.92,277.9,116,23.62,174.7,71,7.86,14.7,7,3.97,1,"Correcto"
"no","no",0,229.4,107,39,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4,"Correcto"
"no","no",0,98,99,16.66,240.7,62,20.46,254.8,123,11.47,10.5,4,2.84,0,"Correcto"
"no","no",0,270.5,69,45.99,230,112,19.55,136,111,6.12,9.6,5,2.59,1,"Incorrecto"
"yes","no",0,174,123,29.58,161.3,115,13.71,260.7,98,11.73,11.4,3,3.08,2,"Correcto"
"no","yes",31,185.4,105,31.52,197.6,126,16.8,147.1,110,6.62,14.5,4,3.92,2,"Correcto"
"yes","no",0,132.1,42,22.46,138.9,88,11.81,192.6,119,8.67,9.1,1,2.46,2,"Incorrecto"
"no","no",0,197.1,117,33.51,227.8,128,19.36,214,101,9.63,9.3,11,2.51,0,"Correcto"
"no","no",0,154.6,112,26.28,184.2,105,15.66,217.4,102,9.78,12.6,5,3.4,2,"Correcto"
"no","yes",29,151.1,121,25.69,244.7,88,20.8,154.4,91,6.95,13.8,2,3.73,2,"Correcto"
"no","no",0,209.6,107,35.63,228.8,96,19.45,172.4,85,7.76,7.6,2,2.05,3,"Correcto"
"no","no",0,224.9,117,38.23,191.9,127,16.31,229.9,97,10.35,10.3,3,2.78,0,"Correcto"
"no","no",0,227.2,89,38.62,194.4,106,16.52,243.4,126,10.95,14.9,2,4.02,0,"Correcto"
"no","yes",31,104.9,115,17.83,237.6,125,20.2,263.4,104,11.85,7.7,6,2.08,3,"Correcto"
"no","no",0,223.9,75,38.06,155.7,109,13.23,150.2,143,6.76,7.3,9,1.97,1,"Correcto"
"no","no",0,179.5,125,30.52,162.3,139,13.8,264.5,133,11.9,6.6,2,1.78,1,"Correcto"
"no","no",0,112,105,19.04,193.7,110,16.46,208.9,93,9.4,4.1,4,1.11,4,"Incorrecto"
"yes","no",0,197.2,127,33.52,156,92,13.26,204.1,99,9.18,9.9,6,2.67,4,"Correcto"
"no","no",0,194.1,62,33,227.2,54,19.31,190.4,115,8.57,15.3,4,4.13,1,"Correcto"
"no","no",0,0,0,0,192.1,119,16.33,168.8,95,7.6,7.2,4,1.94,1,"Correcto"
"no","no",0,132,90,22.44,197.5,75,16.79,175.8,114,7.91,0,0,0,3,"Correcto"
"no","no",0,143.2,80,24.34,88.1,94,7.49,233.2,135,10.49,8.8,7,2.38,4,"Incorrecto"
"no","yes",20,165.7,78,28.17,215.6,94,18.33,243.3,91,10.95,9.8,6,2.65,0,"Correcto"
"no","no",0,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,9.7,4,2.62,1,"Correcto"
"yes","yes",37,235,101,39.95,183.3,79,15.58,139.8,106,6.29,5.7,7,1.54,2,"Correcto"
"no","yes",38,209.8,130,35.67,196.6,84,16.71,233,79,10.49,7,7,1.89,1,"Correcto"
"yes","yes",34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,9.7,6,2.62,4,"Correcto"
"yes","no",0,204.3,82,34.73,188.8,115,16.05,139.4,97,6.27,9.2,7,2.48,1,"Correcto"
"no","no",0,137.1,94,23.31,209.8,83,17.83,238.4,114,10.73,8.6,4,2.32,1,"Correcto"
"no","no",0,39.5,78,6.72,264.3,106,22.47,185.8,90,8.36,10,6,2.7,0,"Correcto"
"no","no",0,183.4,85,31.18,237.6,100,20.2,228,94,10.26,9,5,2.43,3,"Correcto"
"no","yes",41,207.3,95,35.24,137.3,120,11.67,115.7,74,5.21,5.9,3,1.59,1,"Correcto"
"no","no",0,104.7,112,17.8,82.2,104,6.99,169.4,110,7.62,15.8,7,4.27,3,"Correcto"
"no","no",0,168.6,102,28.66,298,117,25.33,194.7,110,8.76,9.8,5,2.65,1,"Correcto"
"yes","no",0,133.3,106,22.66,182.9,89,15.55,241.1,123,10.85,12.9,2,3.48,3,"Incorrecto"
"no","no",0,196.1,107,33.34,296.5,82,25.2,211.5,91,9.52,7,2,1.89,1,"Correcto"
"no","yes",30,153.4,90,26.08,151.4,97,12.87,153.8,97,6.92,12.8,4,3.46,4,"Incorrecto"
"no","no",0,136.4,104,23.19,202.5,110,17.21,230.7,86,10.38,11.5,1,3.11,3,"Correcto"
"no","no",0,272.4,88,46.31,107.9,125,9.17,185.5,81,8.35,12.7,2,3.43,0,"Correcto"
"no","yes",40,210,116,35.7,232.7,89,19.78,168.8,94,7.6,5.9,4,1.59,8,"Correcto"
"yes","yes",17,236.5,94,40.21,163.1,94,13.86,236.7,117,10.65,12.2,3,3.29,2,"Correcto"
"no","no",0,213.9,112,36.36,260.5,100,22.14,233.8,97,10.52,8.4,3,2.27,1,"Incorrecto"
"no","no",0,159.9,100,27.18,172.2,99,14.64,263.2,109,11.84,5.6,4,1.51,1,"Correcto"
"no","no",0,115.1,89,19.57,196.8,111,16.73,212.4,98,9.56,11.4,3,3.08,2,"Correcto"
"no","no",0,261.4,141,44.44,215.7,102,18.33,271.8,96,12.23,8,6,2.16,1,"Incorrecto"
"yes","no",0,242.2,102,41.17,226.1,80,19.22,252,96,11.34,13.9,5,3.75,2,"Incorrecto"
"no","no",0,192.8,68,32.78,158,86,13.43,235.5,105,10.6,12.7,6,3.43,1,"Correcto"
"no","no",0,87.7,103,14.91,278.2,97,23.65,170.6,93,7.68,10.5,10,2.84,1,"Correcto"
"no","no",0,271.1,80,46.09,172,133,14.62,169.2,105,7.61,10.3,5,2.78,1,"Correcto"
"no","no",0,178.4,143,30.33,247,123,21,259.9,105,11.7,9.6,2,2.59,0,"Correcto"
"no","yes",31,194.4,104,33.05,176,84,14.96,230.1,110,10.35,11.5,3,3.11,0,"Correcto"
"no","no",0,154.2,78,26.21,196.7,85,16.72,253.5,97,11.41,10.1,9,2.73,1,"Correcto"
"no","no",0,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81,3,"Correcto"
"no","yes",38,209.2,110,35.56,116.6,73,9.91,109.6,105,4.93,16.5,4,4.46,2,"Correcto"
"no","no",0,150.5,92,25.59,120.3,95,10.23,271.2,96,12.2,9,2,2.43,1,"Correcto"
"no","yes",25,197.4,73,33.56,295.7,113,25.13,211.7,73,9.53,13.2,2,3.56,0,"Correcto"
"no","no",0,82.3,77,13.99,167.2,80,14.21,194.7,70,8.76,7.2,4,1.94,1,"Correcto"
"no","no",0,216,111,36.72,153.7,115,13.06,227,74,10.22,12.7,4,3.43,1,"Correcto"
"yes","no",0,180,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1,"Correcto"
"no","yes",39,198.2,107,33.69,280.4,132,23.83,129.6,73,5.83,11.3,7,3.05,1,"Correcto"
"no","yes",29,185.6,106,31.55,219.7,113,18.67,152.1,120,6.84,11.1,5,3,2,"Correcto"
"yes","no",0,273.9,119,46.56,278.6,103,23.68,255.3,90,11.49,10.9,7,2.94,1,"Incorrecto"
"no","yes",31,125.3,92,21.3,141.2,108,12,168.2,68,7.57,6.3,2,1.7,3,"Correcto"
"no","yes",29,163.8,77,27.85,134.9,112,11.47,79.3,95,3.57,8.8,2,2.38,2,"Correcto"
"yes","yes",44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,"Correcto"
"no","yes",19,132.7,94,22.56,204.6,101,17.39,154.7,78,6.96,12.9,7,3.48,3,"Correcto"
"yes","no",0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,"Correcto"
"no","yes",20,95,89,16.15,167.9,92,14.27,200.6,79,9.03,11.2,2,3.02,0,"Correcto"
"no","no",0,194.6,114,33.08,232.8,106,19.79,173.4,92,7.8,3.8,2,1.03,3,"Correcto"
"no","no",0,119.2,88,20.26,168.3,110,14.31,204.7,119,9.21,12.2,6,3.29,4,"Incorrecto"
"no","no",0,196.8,81,33.46,168,110,14.28,132.6,98,5.97,12.7,7,3.43,2,"Correcto"
"no","no",0,226.9,144,38.57,201.6,122,17.14,130.2,121,5.86,13.2,5,3.56,2,"Correcto"
"no","no",0,204.8,101,34.82,161,80,13.69,285.7,89,12.86,9.5,3,2.57,0,"Correcto"
"no","no",0,154,133,26.18,198.9,121,16.91,151.9,100,6.84,9.5,3,2.57,4,"Incorrecto"
"yes","no",0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,1,"Correcto"
"no","no",0,54.8,92,9.32,173,103,14.71,195.1,125,8.78,7.5,3,2.03,1,"Correcto"
"no","no",0,134,104,22.78,174.5,94,14.83,311.1,79,14,7.3,3,1.97,3,"Correcto"
"no","no",0,184.8,74,31.42,175.1,84,14.88,158.2,95,7.12,10.5,6,2.84,1,"Correcto"
"no","yes",36,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,11.3,3,3.05,3,"Correcto"
"no","yes",31,273,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59,1,"Correcto"
"no","yes",38,242.2,96,41.17,159.7,144,13.57,210,108,9.45,8.9,1,2.4,1,"Correcto"
"yes","no",0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5,"Incorrecto"
"no","yes",31,197.4,125,33.56,123.4,110,10.49,115.6,101,5.2,12.3,4,3.32,3,"Correcto"
"no","no",0,134.8,96,22.92,167.2,78,14.21,161.5,123,7.27,7.7,5,2.08,2,"Correcto"
"no","no",0,143.6,88,24.41,141.8,86,12.05,194,83,8.73,10.8,5,2.92,3,"Correcto"
"no","no",0,215.6,113,36.65,200.6,81,17.05,153.8,107,6.92,12.4,6,3.35,1,"Correcto"
"no","no",0,201.7,85,34.29,169.4,116,14.4,286.3,80,12.88,6,4,1.62,0,"Correcto"
"no","no",0,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,1,"Correcto"
"no","yes",23,167.4,83,28.46,258.6,129,21.98,116.4,110,5.24,11.2,3,3.02,4,"Correcto"
"yes","yes",17,225.2,116,38.28,173.4,88,14.74,145.8,99,6.56,11.7,4,3.16,0,"Correcto"
"no","no",0,188.5,152,32.05,148.3,115,12.61,179.8,88,8.09,15.2,5,4.1,2,"Correcto"
"no","no",0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21,1,"Correcto"
"no","no",0,115.9,87,19.7,111.3,56,9.46,170.2,77,7.66,7.1,4,1.92,1,"Correcto"
"no","no",0,124.3,68,21.13,207.1,88,17.6,157.4,93,7.08,14.8,1,4,0,"Correcto"
"no","no",0,268.7,120,45.68,301,147,25.59,167,140,7.52,5.8,1,1.57,2,"Incorrecto"
"no","no",0,260.8,87,44.34,258.1,78,21.94,131.3,123,5.91,5.8,2,1.57,1,"Correcto"
"no","no",0,179.3,147,30.48,208.9,89,17.76,248.2,98,11.17,13.5,6,3.65,1,"Incorrecto"
"no","no",0,158,110,26.86,197,103,16.75,154.9,132,6.97,10,5,2.7,1,"Correcto"
"no","no",0,202.7,105,34.46,224.9,90,19.12,253.9,108,11.43,12.1,7,3.27,0,"Correcto"
"no","yes",42,166.9,101,28.37,273.2,84,23.22,171,106,7.69,11.5,1,3.11,1,"Correcto"
"no","no",0,182.3,64,30.99,139.8,121,11.88,171.6,96,7.72,11.6,7,3.13,2,"Correcto"
"no","yes",39,91.5,125,15.56,219.9,113,18.69,229,99,10.31,12.7,8,3.43,2,"Correcto"
"no","no",0,153.6,92,26.11,205.5,88,17.47,114.5,89,5.15,12.5,10,3.38,1,"Correcto"
"no","no",0,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10,3,2.7,3,"Incorrecto"
"no","yes",39,117.6,82,19.99,159.2,60,13.53,236.4,113,10.64,11.3,10,3.05,2,"Correcto"
"no","yes",21,192,97,32.64,239.1,81,20.32,116.1,125,5.22,15.1,3,4.08,1,"Correcto"
"no","no",0,191.6,115,32.57,205.6,108,17.48,210.2,123,9.46,9.2,3,2.48,2,"Correcto"
"no","no",0,138.9,111,23.61,211.6,102,17.99,179.5,91,8.08,10.8,3,2.92,1,"Correcto"
"no","no",0,127,102,21.59,206.9,107,17.59,231.7,99,10.43,6.1,6,1.65,0,"Correcto"
"no","no",0,286.6,73,48.72,223.2,108,18.97,203.7,107,9.17,11.5,5,3.11,1,"Incorrecto"
"no","no",0,225,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0,"Correcto"
"no","no",0,174.9,105,29.73,262,75,22.27,210,93,9.45,8.5,5,2.3,1,"Correcto"
"no","no",0,196.1,103,33.34,199.7,123,16.97,135.9,71,6.12,12.9,1,3.48,3,"Correcto"
"no","no",0,231.3,100,39.32,210.4,84,17.88,217.4,106,9.78,12.4,2,3.35,3,"Correcto"
"no","yes",42,209.2,82,35.56,159.7,74,13.57,181.6,100,8.17,9.5,3,2.57,0,"Correcto"
"no","yes",23,253,78,43.01,138.9,121,11.81,277.8,104,12.5,11.8,3,3.19,2,"Correcto"
"no","yes",26,183.9,83,31.26,240.7,93,20.46,185.7,125,8.36,15,3,4.05,1,"Correcto"
"no","no",0,156.5,67,26.61,204.3,103,17.37,141.9,72,6.39,9.9,2,2.67,2,"Correcto"
"no","yes",42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,"Correcto"
"no","yes",39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2,"Correcto"
"no","yes",25,144.1,144,24.5,167.6,105,14.25,240,107,10.8,14.5,3,3.92,1,"Correcto"
"no","no",0,109.1,134,18.55,142.3,76,12.1,91.2,86,4.1,10.9,5,2.94,2,"Correcto"
"yes","yes",25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0,"Correcto"
"no","no",0,185.3,91,31.5,219.1,88,18.62,243.6,107,10.96,5.5,5,1.49,0,"Correcto"
"no","no",0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4,4,"Incorrecto"
"no","no",0,272.7,97,46.36,236.4,95,20.09,235.5,105,10.6,7.7,2,2.08,0,"Incorrecto"
"no","no",0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12,4,3.24,2,"Correcto"
"no","no",0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,10.3,3,2.78,4,"Correcto"
"no","no",0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,"Correcto"
"no","no",0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,"Correcto"
"no","no",0,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0,"Incorrecto"
"no","yes",30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,"Correcto"
"no","no",0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,"Correcto"
"no","yes",30,174,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,"Correcto"
"no","no",0,198.2,73,33.69,202.8,115,17.24,146.4,73,6.59,5.1,5,1.38,1,"Correcto"
"no","no",0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3,0,"Correcto"
"no","no",0,238,82,40.46,278.5,94,23.67,193.1,134,8.69,11.8,10,3.19,0,"Incorrecto"
"no","no",0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,"Correcto"
"no","no",0,149,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,"Correcto"
"no","no",0,117.1,118,19.91,249.6,90,21.22,162.2,84,7.3,11.1,4,3,3,"Correcto"
"no","yes",21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,"Correcto"
"no","yes",27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1,"Correcto"
"no","no",0,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2,1,"Correcto"
"no","no",0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,"Correcto"
"no","no",0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,"Correcto"
"no","yes",27,204.6,96,34.78,136,93,11.56,210.5,82,9.47,6.6,2,1.78,3,"Correcto"
"no","no",0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,"Correcto"
"no","no",0,194.2,98,33.01,193.8,95,16.47,192,123,8.64,9.3,7,2.51,3,"Correcto"
"no","no",0,183.8,111,31.25,123.5,92,10.5,160.7,105,7.23,6.1,2,1.65,1,"Correcto"
"no","yes",39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3,"Correcto"
"yes","yes",36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,"Correcto"
"no","no",0,217.6,87,36.99,279,71,23.72,250.7,65,11.28,10.4,4,2.81,2,"Incorrecto"
"no","no",0,269.8,106,45.87,228.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,"Incorrecto"
"no","yes",15,88.1,125,14.98,175.9,142,14.95,269.9,85,12.15,9.7,1,2.62,2,"Correcto"
"no","yes",34,218.5,61,37.15,196.7,74,16.72,151.1,103,6.8,9.9,4,2.67,2,"Correcto"
"no","no",0,213.2,79,36.24,120.7,116,10.26,244.4,102,11,7.5,4,2.03,1,"Correcto"
"no","no",0,263.4,101,44.78,235.5,117,20.02,102,146,4.59,13,4,3.51,0,"Correcto"
"no","no",0,138.9,65,23.61,208.9,109,17.76,232.4,82,10.46,9.2,3,2.48,2,"Correcto"
"no","no",0,168.6,121,28.66,168.6,94,14.33,95.3,59,4.29,12.3,4,3.32,1,"Correcto"
"no","no",0,131.1,108,22.29,176.2,81,14.98,89.7,81,4.04,4.3,4,1.16,1,"Correcto"
"no","no",0,109,69,18.53,265.8,98,22.59,228.3,80,10.27,12.6,2,3.4,1,"Correcto"
"no","no",0,182.5,65,31.03,232.1,96,19.73,149.2,82,6.71,7.5,2,2.03,2,"Correcto"
"no","no",0,219.6,97,37.33,141.1,144,11.99,205.7,101,9.26,10.8,4,2.92,2,"Correcto"
"no","yes",28,233.2,88,39.64,113.3,102,9.63,118,71,5.31,16.1,4,4.35,0,"Correcto"
"no","no",0,148.4,95,25.23,193.8,98,16.47,206,106,9.27,6.9,6,1.86,0,"Correcto"
"no","no",0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2,"Correcto"
"no","no",0,119.3,82,20.28,185.1,111,15.73,157,74,7.07,10.9,4,2.94,2,"Correcto"
"no","no",0,236.2,135,40.15,273.9,88,23.28,227,77,10.22,10.1,6,2.73,2,"Incorrecto"
"no","no",0,289.8,101,49.27,255.6,115,21.73,242.8,76,10.93,11.7,4,3.16,2,"Incorrecto"
"no","no",0,245,112,41.65,180.4,91,15.33,262.9,105,11.83,9.7,6,2.62,1,"Correcto"
"no","no",0,226,127,38.42,304.6,83,25.89,181.2,132,8.15,12.6,4,3.4,2,"Incorrecto"
"no","no",0,137.6,106,23.39,143.5,94,12.2,273.7,110,12.32,9.6,6,2.59,2,"Correcto"
"no","no",0,171.2,103,29.1,243.5,121,20.7,178.2,92,8.02,13,3,3.51,2,"Correcto"
"no","no",0,197.9,89,33.64,251,113,21.34,138.3,85,6.22,11.2,2,3.02,2,"Correcto"
"no","no",0,121.8,97,20.71,89.3,97,7.59,150.7,92,6.78,10.3,5,2.78,1,"Correcto"
"no","yes",31,172.3,116,29.29,266.2,91,22.63,228.2,90,10.27,11.8,5,3.19,1,"Correcto"
"no","no",0,152.9,81,25.99,256.6,82,21.81,173.6,112,7.81,5.3,6,1.43,2,"Correcto"
"no","no",0,261.7,105,44.49,181.8,107,15.45,100.9,131,4.54,3.3,5,0.89,0,"Correcto"
"no","no",0,159.5,99,27.12,119.7,149,10.17,173.9,126,7.83,6.8,3,1.84,2,"Correcto"
"no","no",0,278.9,110,47.41,190.2,67,16.17,255.2,84,11.48,11.7,7,3.16,0,"Incorrecto"
"no","no",0,133.3,94,22.66,247.8,126,21.06,219,78,9.86,11.3,5,3.05,5,"Incorrecto"
"no","no",0,184.5,103,31.37,209,86,17.77,169.7,70,7.64,10.2,6,2.75,2,"Correcto"
"yes","no",0,209.1,141,35.55,205,93,17.43,119.4,111,5.37,7.8,3,2.11,2,"Correcto"
"no","no",0,97.2,88,16.52,155.6,85,13.23,261.6,105,11.77,12.4,5,3.35,0,"Correcto"
"no","no",0,224.3,112,38.13,185.7,103,15.78,159.4,83,7.17,10,1,2.7,2,"Correcto"
"no","no",0,268.1,95,45.58,120.5,126,10.24,220.8,121,9.94,14.4,6,3.89,2,"Correcto"
"no","no",0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,1.84,4,"Incorrecto"
"no","no",0,267.1,104,45.41,180.4,131,15.33,230.6,106,10.38,17.3,4,4.67,1,"Incorrecto"
